,log_price,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_identity_verified,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
0,5,0,0,7,1,0,strict,True,0,True,6,93,10019,3,3
1,4,0,0,5,1,0,moderate,True,0,True,10,92,10027,1,3
2,4,0,1,2,1,0,strict,True,2,True,3,100,94131,1,1
3,4,2,0,2,1,0,moderate,True,1,True,9,93,90015,1,1
4,4,1,1,2,1,0,moderate,True,2,True,159,99,94121,1,1
5,4,0,1,2,1,0,strict,True,0,True,82,93,10009.0,1,1
6,4,3,1,2,2,0,strict,True,4,True,12,88,02127,1,1
7,4,1,0,8,1,0,strict,True,0,True,5,72,11226.0,3,3
8,4,1,1,2,1,0,strict,True,1,True,26,98,91401,1,1
9,3,1,1,2,1,0,strict,True,0,True,57,89,11212.0,1,1
10,4,0,0,4,1,0,moderate,True,1,True,73,99,90015,1,1
11,5,0,0,6,1,0,strict,True,0,True,14,100,11411.0,3,3
12,5,0,0,4,1,0,strict,True,0,True,4,100,11374,2,2
13,4,0,1,3,1,0,strict,True,0,True,40,88,10016,1,2
14,4,0,1,2,1,0,strict,True,0,True,1,100,11225,1,1
15,5,0,0,4,1,0,strict,True,1,True,248,96,90291,2,3
16,4,0,1,2,1,0,moderate,True,0,True,17,96,11212,1,1
17,4,1,1,2,1,0,strict,True,2,True,138,96,94118,1,1
18,3,0,1,1,1,0,strict,True,0,True,11,84,11211.0,1,1
19,4,2,1,2,1,0,strict,True,4,True,40,96,02127,1,1
20,4,0,1,8,1,0,moderate,True,1,True,44,92,90057,1,7
21,4,1,1,2,1,0,strict,True,0,True,34,88,11233,1,1
22,4,1,1,2,1,0,strict,False,5,True,85,96,60608,1,1
23,4,0,1,2,1,0,flexible,True,0,True,3,100,11249.0,1,1
24,4,0,0,2,1,0,strict,True,0,True,31,94,10011,1,1
25,3,0,1,2,1,0,strict,True,0,True,9,100,10032,3,1
26,5,1,0,4,1,0,strict,True,1,True,3,93,90291,2,2
27,4,0,0,6,1,0,strict,True,4,True,5,100,02127,2,4
28,4,0,0,3,1,0,moderate,True,1,True,1,100,90027,1,1
29,4,0,0,6,2,0,strict,True,1,True,30,89,90028,2,2
