,log_price,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_identity_verified,name,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
0,5,0,0,7,1,0,strict,True,NYC,True,Superb 3BR Apt Located Near Times Square,6,93,10019,3,3
1,4,0,0,5,1,0,moderate,True,NYC,True,The Garden Oasis,10,92,10027,1,3
2,4,0,1,2,1,0,strict,True,SF,True,Comfort Suite San Francisco,3,100,94131,1,1
3,4,2,0,2,1,0,moderate,True,LA,True,"Near LA Live, Staple's. Starbucks inside. OWN VIEW",9,93,90015,1,1
4,4,1,1,2,1,0,moderate,True,SF,True,Cozy Garden Studio - Private Entry,159,99,94121,1,1
5,4,0,1,2,1,0,strict,True,NYC,True,Large East Village Bedroom To Let!,82,93,10009.0,1,1
6,4,3,1,2,2,0,strict,True,Boston,True,"Comfy room (C) near T, convention center, downtown",12,88,02127,1,1
7,4,1,0,8,1,0,strict,True,NYC,True,3 Bedroom Apartment for Small Group or Family,5,72,11226.0,3,3
8,4,1,1,2,1,0,strict,True,LA,True,Chill out after work or playing in Los Angeles,26,98,91401,1,1
9,3,1,1,2,1,0,strict,True,NYC,True,THE LIBRARY LOUNGE,57,89,11212.0,1,1
10,4,0,0,4,1,0,moderate,True,LA,True,"LOFT WITH VIEW, Convention center!",73,99,90015,1,1
11,5,0,0,6,1,0,strict,True,NYC,True,JFK LUXURIOUS APARTMENT,14,100,11411.0,3,3
12,5,0,0,4,1,0,strict,True,NYC,True,Luxurious 2 bedroom Apartment in Rego Park,4,100,11374,2,2
13,4,0,1,3,1,0,strict,True,NYC,True,CENTER OF MANHATTAN! NICE COZY ROOM,40,88,10016,1,2
14,4,0,1,2,1,0,strict,True,NYC,True,"Modern Room in a Cozy, Colorful Apartment",1,100,11225,1,1
15,5,0,0,4,1,0,strict,True,LA,True,Light Bright Venice Beach 2 bedroom,248,96,90291,2,3
16,4,0,1,2,1,0,moderate,True,NYC,True,Intimate Isolate Oasis,17,96,11212,1,1
17,4,1,1,2,1,0,strict,True,SF,True,Cozy Giants Room @Golden Gate Park,138,96,94118,1,1
18,3,0,1,1,1,0,strict,True,NYC,True,"Queen-bed,huge room, 15 min to union square off L",11,84,11211.0,1,1
19,4,2,1,2,1,0,strict,True,Boston,True,Private Bedroom Close To Downtown/Subway Red line,40,96,02127,1,1
20,4,0,1,8,1,0,moderate,True,LA,True,Spacious Room up to 8 Guests,44,92,90057,1,7
21,4,1,1,2,1,0,strict,True,NYC,True,Cozy & Private Bedroom w/ Shared Bathroom,34,88,11233,1,1
22,4,1,1,2,1,0,strict,False,Chicago,True,Art studio + house in one,85,96,60608,1,1
23,4,0,1,2,1,0,flexible,True,NYC,True,PR in huge 2bed Loft! L train&ferry B,3,100,11249.0,1,1
24,4,0,0,2,1,0,strict,True,NYC,True,Stylish 1br apt west village,31,94,10011,1,1
25,3,0,1,2,1,0,strict,True,NYC,True,Bright Room in 3 Bedroom apt.,9,100,10032,3,1
26,5,1,0,4,1,0,strict,True,LA,True,Quintessential Venice Beach Bungalow,3,93,90291,2,2
27,4,0,0,6,1,0,strict,True,Boston,True,**NEW*Downtown/Convention/Subway/Beach C130,5,100,02127,2,4
